25/02/2022 09:46:14, OPT3001, L, 178.88
25/02/2022 09:46:15, OPT3001, L, 178.88
25/02/2022 09:46:16, OPT3001, L, 179.20
25/02/2022 09:46:17, OPT3001, L, 178.56
25/02/2022 09:46:18, OPT3001, L, 178.24
25/02/2022 09:46:19, OPT3001, L, 178.24
25/02/2022 09:46:20, OPT3001, L, 177.60
25/02/2022 09:46:21, OPT3001, L, 177.60
25/02/2022 09:46:22, OPT3001, L, 177.92
25/02/2022 09:46:23, OPT3001, L, 177.92
25/02/2022 09:46:24, OPT3001, L, 176.96
25/02/2022 09:46:25, OPT3001, L, 176.96
25/02/2022 09:46:26, OPT3001, L, 176.96
25/02/2022 09:46:27, OPT3001, L, 176.96
25/02/2022 09:46:28, OPT3001, L, 176.32
25/02/2022 09:46:29, OPT3001, L, 175.36
25/02/2022 09:46:30, OPT3001, L, 175.68
25/02/2022 09:46:31, OPT3001, L, 175.36
25/02/2022 09:46:32, OPT3001, L, 175.68
25/02/2022 09:46:33, OPT3001, L, 175.36
25/02/2022 09:46:34, OPT3001, L, 176.00
25/02/2022 09:46:35, OPT3001, L, 176.96
25/02/2022 09:46:36, OPT3001, L, 176.32
25/02/2022 09:46:37, OPT3001, L, 176.00
25/02/2022 09:46:38, OPT3001, L, 174.72
25/02/2022 09:46:39, OPT3001, L, 174.72
25/02/2022 09:46:40, OPT3001, L, 175.68
25/02/2022 09:46:41, OPT3001, L, 175.68
25/02/2022 09:46:42, OPT3001, L, 176.00
25/02/2022 09:46:43, OPT3001, L, 175.68
25/02/2022 09:46:44, OPT3001, L, 176.64
25/02/2022 09:46:45, OPT3001, L, 177.60
25/02/2022 09:46:46, OPT3001, L, 177.60
25/02/2022 09:46:47, OPT3001, L, 176.32
25/02/2022 09:46:48, OPT3001, L, 175.68
25/02/2022 09:46:49, OPT3001, L, 175.04
25/02/2022 09:46:50, OPT3001, L, 174.40
25/02/2022 09:46:51, OPT3001, L, 175.04
25/02/2022 09:46:52, OPT3001, L, 174.40
25/02/2022 09:46:53, OPT3001, L, 174.08
25/02/2022 09:46:54, OPT3001, L, 174.40
25/02/2022 09:46:55, OPT3001, L, 175.04
25/02/2022 09:46:56, OPT3001, L, 174.08
25/02/2022 09:46:57, OPT3001, L, 174.08
25/02/2022 09:46:58, OPT3001, L, 174.08
25/02/2022 09:46:59, OPT3001, L, 175.36
25/02/2022 09:47:00, OPT3001, L, 174.72
25/02/2022 09:47:01, OPT3001, L, 174.08
25/02/2022 09:47:02, OPT3001, L, 173.44
25/02/2022 09:47:03, OPT3001, L, 173.76
25/02/2022 09:47:04, OPT3001, L, 173.44
25/02/2022 09:47:05, OPT3001, L, 173.76
25/02/2022 09:47:06, OPT3001, L, 173.76
25/02/2022 09:47:07, OPT3001, L, 173.76
25/02/2022 09:47:08, OPT3001, L, 173.44
25/02/2022 09:47:09, OPT3001, L, 173.44
25/02/2022 09:47:10, OPT3001, L, 173.12
25/02/2022 09:47:11, OPT3001, L, 173.12
25/02/2022 09:47:12, OPT3001, L, 172.16
25/02/2022 09:47:13, OPT3001, L, 172.16
25/02/2022 09:47:14, OPT3001, L, 171.84
